"","gender","race","education","state","age","employment","people_in_each_state","number_in_cell","cell_prop_of_division_total"
"1","Female","Asian","Graduates or higher degree","AK","Age_18-29","employed",980,2,0.00204081632653061
"2","Female","Asian","Highschool","AK","Age_18-29","employed",980,3,0.00306122448979592
"3","Female","Asian","Highschool","AK","Age_18-29","unemployed",980,2,0.00204081632653061
"4","Female","Asian","Highschool","AK","Age_30-44","unemployed",980,1,0.00102040816326531
"5","Female","Asian","Highschool","AK","Age_45-59","employed",980,4,0.00408163265306122
"6","Female","Asian","Highschool","AK","Age_45-59","unemployed",980,2,0.00204081632653061
"7","Female","Asian","Highschool","AK","Age_60-74","unemployed",980,2,0.00204081632653061
"8","Female","Asian","Highschool","AK","Age_75+","unemployed",980,1,0.00102040816326531
"9","Female","Asian","Less than highschool","AK","Age_30-44","unemployed",980,1,0.00102040816326531
"10","Female","Asian","Less than highschool","AK","Age_45-59","employed",980,1,0.00102040816326531
"11","Female","Asian","Less than highschool","AK","Age_60-74","employed",980,2,0.00204081632653061
"12","Female","Asian","Less than highschool","AK","Age_60-74","unemployed",980,1,0.00102040816326531
"13","Female","Asian","Undergraduates or similar degree","AK","Age_18-29","employed",980,3,0.00306122448979592
"14","Female","Asian","Undergraduates or similar degree","AK","Age_30-44","employed",980,6,0.00612244897959184
"15","Female","Asian","Undergraduates or similar degree","AK","Age_45-59","employed",980,1,0.00102040816326531
"16","Female","Black","Graduates or higher degree","AK","Age_30-44","employed",980,1,0.00102040816326531
"17","Female","Black","Highschool","AK","Age_45-59","employed",980,3,0.00306122448979592
"18","Female","Black","Highschool","AK","Age_45-59","unemployed",980,1,0.00102040816326531
"19","Female","Black","Undergraduates or similar degree","AK","Age_18-29","employed",980,1,0.00102040816326531
"20","Female","Black","Undergraduates or similar degree","AK","Age_30-44","employed",980,1,0.00102040816326531
"21","Female","Black","Undergraduates or similar degree","AK","Age_30-44","unemployed",980,1,0.00102040816326531
"22","Female","Others","Graduates or higher degree","AK","Age_30-44","employed",980,10,0.0102040816326531
"23","Female","Others","Graduates or higher degree","AK","Age_45-59","employed",980,16,0.0163265306122449
"24","Female","Others","Graduates or higher degree","AK","Age_45-59","unemployed",980,2,0.00204081632653061
"25","Female","Others","Graduates or higher degree","AK","Age_60-74","employed",980,7,0.00714285714285714
"26","Female","Others","Graduates or higher degree","AK","Age_60-74","unemployed",980,5,0.00510204081632653
"27","Female","Others","Graduates or higher degree","AK","Age_75+","unemployed",980,4,0.00408163265306122
"28","Female","Others","Highschool","AK","Age_18-29","employed",980,20,0.0204081632653061
"29","Female","Others","Highschool","AK","Age_18-29","unemployed",980,11,0.0112244897959184
"30","Female","Others","Highschool","AK","Age_30-44","employed",980,18,0.0183673469387755
"31","Female","Others","Highschool","AK","Age_30-44","unemployed",980,15,0.0153061224489796
"32","Female","Others","Highschool","AK","Age_45-59","employed",980,17,0.0173469387755102
"33","Female","Others","Highschool","AK","Age_45-59","unemployed",980,17,0.0173469387755102
"34","Female","Others","Highschool","AK","Age_60-74","employed",980,8,0.00816326530612245
"35","Female","Others","Highschool","AK","Age_60-74","unemployed",980,23,0.023469387755102
"36","Female","Others","Highschool","AK","Age_75+","employed",980,2,0.00204081632653061
"37","Female","Others","Highschool","AK","Age_75+","unemployed",980,10,0.0102040816326531
"38","Female","Others","Less than highschool","AK","Age_30-44","unemployed",980,1,0.00102040816326531
"39","Female","Others","Less than highschool","AK","Age_45-59","employed",980,3,0.00306122448979592
"40","Female","Others","Less than highschool","AK","Age_60-74","employed",980,1,0.00102040816326531
"41","Female","Others","Less than highschool","AK","Age_60-74","unemployed",980,3,0.00306122448979592
"42","Female","Others","Less than highschool","AK","Age_75+","unemployed",980,5,0.00510204081632653
"43","Female","Others","Undergraduates or similar degree","AK","Age_18-29","employed",980,35,0.0357142857142857
"44","Female","Others","Undergraduates or similar degree","AK","Age_18-29","unemployed",980,9,0.00918367346938776
"45","Female","Others","Undergraduates or similar degree","AK","Age_30-44","employed",980,40,0.0408163265306122
"46","Female","Others","Undergraduates or similar degree","AK","Age_30-44","unemployed",980,12,0.0122448979591837
"47","Female","Others","Undergraduates or similar degree","AK","Age_45-59","employed",980,42,0.0428571428571429
"48","Female","Others","Undergraduates or similar degree","AK","Age_45-59","unemployed",980,12,0.0122448979591837
"49","Female","Others","Undergraduates or similar degree","AK","Age_60-74","employed",980,12,0.0122448979591837
"50","Female","Others","Undergraduates or similar degree","AK","Age_60-74","unemployed",980,34,0.0346938775510204
"51","Female","Others","Undergraduates or similar degree","AK","Age_75+","employed",980,3,0.00306122448979592
"52","Female","Others","Undergraduates or similar degree","AK","Age_75+","unemployed",980,10,0.0102040816326531
"53","Male","Asian","Highschool","AK","Age_18-29","employed",980,1,0.00102040816326531
"54","Male","Asian","Highschool","AK","Age_18-29","unemployed",980,2,0.00204081632653061
"55","Male","Asian","Highschool","AK","Age_30-44","employed",980,3,0.00306122448979592
"56","Male","Asian","Highschool","AK","Age_30-44","unemployed",980,1,0.00102040816326531
"57","Male","Asian","Highschool","AK","Age_45-59","employed",980,3,0.00306122448979592
"58","Male","Asian","Less than highschool","AK","Age_45-59","employed",980,1,0.00102040816326531
"59","Male","Asian","Undergraduates or similar degree","AK","Age_18-29","employed",980,4,0.00408163265306122
"60","Male","Asian","Undergraduates or similar degree","AK","Age_30-44","employed",980,2,0.00204081632653061
"61","Male","Asian","Undergraduates or similar degree","AK","Age_45-59","employed",980,2,0.00204081632653061
"62","Male","Asian","Undergraduates or similar degree","AK","Age_60-74","employed",980,1,0.00102040816326531
"63","Male","Black","Highschool","AK","Age_18-29","employed",980,2,0.00204081632653061
"64","Male","Black","Highschool","AK","Age_30-44","employed",980,1,0.00102040816326531
"65","Male","Black","Highschool","AK","Age_45-59","employed",980,1,0.00102040816326531
"66","Male","Black","Undergraduates or similar degree","AK","Age_18-29","employed",980,2,0.00204081632653061
"67","Male","Black","Undergraduates or similar degree","AK","Age_30-44","employed",980,2,0.00204081632653061
"68","Male","Black","Undergraduates or similar degree","AK","Age_45-59","unemployed",980,1,0.00102040816326531
"69","Male","Others","Graduates or higher degree","AK","Age_18-29","employed",980,2,0.00204081632653061
"70","Male","Others","Graduates or higher degree","AK","Age_30-44","employed",980,9,0.00918367346938776
"71","Male","Others","Graduates or higher degree","AK","Age_45-59","employed",980,12,0.0122448979591837
"72","Male","Others","Graduates or higher degree","AK","Age_45-59","unemployed",980,1,0.00102040816326531
"73","Male","Others","Graduates or higher degree","AK","Age_60-74","employed",980,4,0.00408163265306122
"74","Male","Others","Graduates or higher degree","AK","Age_60-74","unemployed",980,3,0.00306122448979592
"75","Male","Others","Graduates or higher degree","AK","Age_75+","employed",980,1,0.00102040816326531
"76","Male","Others","Graduates or higher degree","AK","Age_75+","unemployed",980,3,0.00306122448979592
"77","Male","Others","Highschool","AK","Age_18-29","employed",980,64,0.0653061224489796
"78","Male","Others","Highschool","AK","Age_18-29","unemployed",980,28,0.0285714285714286
"79","Male","Others","Highschool","AK","Age_30-44","employed",980,34,0.0346938775510204
"80","Male","Others","Highschool","AK","Age_30-44","unemployed",980,15,0.0153061224489796
"81","Male","Others","Highschool","AK","Age_45-59","employed",980,40,0.0408163265306122
"82","Male","Others","Highschool","AK","Age_45-59","unemployed",980,10,0.0102040816326531
"83","Male","Others","Highschool","AK","Age_60-74","employed",980,16,0.0163265306122449
"84","Male","Others","Highschool","AK","Age_60-74","unemployed",980,24,0.0244897959183673
"85","Male","Others","Highschool","AK","Age_75+","employed",980,2,0.00204081632653061
"86","Male","Others","Highschool","AK","Age_75+","unemployed",980,5,0.00510204081632653
"87","Male","Others","Less than highschool","AK","Age_18-29","unemployed",980,1,0.00102040816326531
"88","Male","Others","Less than highschool","AK","Age_30-44","employed",980,2,0.00204081632653061
"89","Male","Others","Less than highschool","AK","Age_30-44","unemployed",980,2,0.00204081632653061
"90","Male","Others","Less than highschool","AK","Age_60-74","employed",980,1,0.00102040816326531
"91","Male","Others","Less than highschool","AK","Age_60-74","unemployed",980,7,0.00714285714285714
"92","Male","Others","Less than highschool","AK","Age_75+","unemployed",980,4,0.00408163265306122
"93","Male","Others","Undergraduates or similar degree","AK","Age_18-29","employed",980,32,0.0326530612244898
"94","Male","Others","Undergraduates or similar degree","AK","Age_18-29","unemployed",980,9,0.00918367346938776
"95","Male","Others","Undergraduates or similar degree","AK","Age_30-44","employed",980,41,0.0418367346938776
"96","Male","Others","Undergraduates or similar degree","AK","Age_30-44","unemployed",980,5,0.00510204081632653
"97","Male","Others","Undergraduates or similar degree","AK","Age_45-59","employed",980,51,0.0520408163265306
"98","Male","Others","Undergraduates or similar degree","AK","Age_45-59","unemployed",980,7,0.00714285714285714
"99","Male","Others","Undergraduates or similar degree","AK","Age_60-74","employed",980,31,0.0316326530612245
"100","Male","Others","Undergraduates or similar degree","AK","Age_60-74","unemployed",980,28,0.0285714285714286
"101","Male","Others","Undergraduates or similar degree","AK","Age_75+","employed",980,1,0.00102040816326531
"102","Male","Others","Undergraduates or similar degree","AK","Age_75+","unemployed",980,9,0.00918367346938776
"103","Female","Asian","Graduates or higher degree","AL","Age_30-44","employed",7413,3,0.000404694455685957
"104","Female","Asian","Graduates or higher degree","AL","Age_45-59","employed",7413,1,0.000134898151895319
"105","Female","Asian","Highschool","AL","Age_18-29","unemployed",7413,1,0.000134898151895319
"106","Female","Asian","Highschool","AL","Age_30-44","employed",7413,5,0.000674490759476595
"107","Female","Asian","Highschool","AL","Age_45-59","employed",7413,3,0.000404694455685957
"108","Female","Asian","Highschool","AL","Age_45-59","unemployed",7413,2,0.000269796303790638
"109","Female","Asian","Highschool","AL","Age_60-74","employed",7413,2,0.000269796303790638
"110","Female","Asian","Highschool","AL","Age_60-74","unemployed",7413,3,0.000404694455685957
"111","Female","Asian","Highschool","AL","Age_75+","unemployed",7413,1,0.000134898151895319
"112","Female","Asian","Less than highschool","AL","Age_30-44","unemployed",7413,1,0.000134898151895319
"113","Female","Asian","Less than highschool","AL","Age_45-59","unemployed",7413,2,0.000269796303790638
"114","Female","Asian","Less than highschool","AL","Age_60-74","unemployed",7413,1,0.000134898151895319
"115","Female","Asian","Undergraduates or similar degree","AL","Age_18-29","employed",7413,3,0.000404694455685957
"116","Female","Asian","Undergraduates or similar degree","AL","Age_18-29","unemployed",7413,3,0.000404694455685957
"117","Female","Asian","Undergraduates or similar degree","AL","Age_30-44","employed",7413,7,0.000944287063267233
"118","Female","Asian","Undergraduates or similar degree","AL","Age_30-44","unemployed",7413,3,0.000404694455685957
"119","Female","Asian","Undergraduates or similar degree","AL","Age_45-59","employed",7413,3,0.000404694455685957
"120","Female","Asian","Undergraduates or similar degree","AL","Age_45-59","unemployed",7413,5,0.000674490759476595
"121","Female","Asian","Undergraduates or similar degree","AL","Age_60-74","unemployed",7413,3,0.000404694455685957
"122","Female","Asian","Undergraduates or similar degree","AL","Age_75+","unemployed",7413,1,0.000134898151895319
