"","gender","race","education","state","age","employment","trump"
"1","Female","Others","Highschool","AK","Age_45-59","unemployed",1
"2","Female","White","Highschool","AK","Age_30-44","employed",0
"3","Female","White","Undergraduates or similar degree","AK","Age_18-29","employed",0
"4","Female","White","Undergraduates or similar degree","AK","Age_18-29","unemployed",1
"5","Female","White","Undergraduates or similar degree","AK","Age_30-44","unemployed",1
"6","Male","White","Undergraduates or similar degree","AK","Age_75+","unemployed",1
"7","Female","Asian","Undergraduates or similar degree","AL","Age_30-44","unemployed",0
"8","Female","Black","Graduates or higher degree","AL","Age_30-44","employed",0
"9","Female","Black","Highschool","AL","Age_18-29","unemployed",0
"10","Female","Black","Highschool","AL","Age_30-44","employed",0
"11","Female","Black","Highschool","AL","Age_45-59","employed",0
"12","Female","Black","Undergraduates or similar degree","AL","Age_18-29","employed",0
"13","Female","Black","Undergraduates or similar degree","AL","Age_18-29","unemployed",1
"14","Female","Black","Undergraduates or similar degree","AL","Age_30-44","employed",0
"15","Female","Black","Undergraduates or similar degree","AL","Age_30-44","employed",0
"16","Female","Black","Undergraduates or similar degree","AL","Age_30-44","unemployed",0
"17","Female","Black","Undergraduates or similar degree","AL","Age_45-59","employed",0
"18","Female","Others","Undergraduates or similar degree","AL","Age_45-59","employed",0
"19","Female","White","Graduates or higher degree","AL","Age_30-44","employed",0
"20","Female","White","Graduates or higher degree","AL","Age_30-44","unemployed",0
"21","Female","White","Graduates or higher degree","AL","Age_60-74","employed",1
"22","Female","White","Graduates or higher degree","AL","Age_75+","unemployed",1
"23","Female","White","Highschool","AL","Age_18-29","employed",0
"24","Female","White","Highschool","AL","Age_18-29","employed",0
"25","Female","White","Highschool","AL","Age_18-29","employed",1
"26","Female","White","Highschool","AL","Age_18-29","unemployed",1
"27","Female","White","Highschool","AL","Age_30-44","unemployed",0
"28","Female","White","Highschool","AL","Age_30-44","unemployed",1
"29","Female","White","Highschool","AL","Age_45-59","employed",1
"30","Female","White","Highschool","AL","Age_45-59","unemployed",1
"31","Female","White","Highschool","AL","Age_45-59","unemployed",1
"32","Female","White","Highschool","AL","Age_60-74","employed",1
"33","Female","White","Highschool","AL","Age_60-74","unemployed",1
"34","Female","White","Highschool","AL","Age_75+","unemployed",1
"35","Female","White","Undergraduates or similar degree","AL","Age_18-29","employed",1
"36","Female","White","Undergraduates or similar degree","AL","Age_18-29","employed",1
"37","Female","White","Undergraduates or similar degree","AL","Age_18-29","unemployed",1
"38","Female","White","Undergraduates or similar degree","AL","Age_18-29","unemployed",0
"39","Female","White","Undergraduates or similar degree","AL","Age_18-29","unemployed",0
"40","Female","White","Undergraduates or similar degree","AL","Age_30-44","employed",0
"41","Female","White","Undergraduates or similar degree","AL","Age_30-44","unemployed",1
"42","Female","White","Undergraduates or similar degree","AL","Age_30-44","unemployed",1
"43","Female","White","Undergraduates or similar degree","AL","Age_30-44","unemployed",1
"44","Female","White","Undergraduates or similar degree","AL","Age_45-59","unemployed",1
"45","Female","White","Undergraduates or similar degree","AL","Age_45-59","unemployed",0
"46","Female","White","Undergraduates or similar degree","AL","Age_75+","unemployed",1
"47","Female","White",NA,"AL","Age_18-29","unemployed",1
"48","Female","White",NA,"AL","Age_18-29","unemployed",1
"49","Female","White",NA,"AL","Age_30-44","unemployed",1
"50","Female","White",NA,"AL","Age_30-44","unemployed",1
"51","Female","White",NA,"AL","Age_30-44","unemployed",1
"52","Female","White",NA,"AL","Age_75+","unemployed",1
"53","Male","Asian","Undergraduates or similar degree","AL","Age_30-44","employed",0
"54","Male","Asian","Undergraduates or similar degree","AL","Age_45-59","employed",0
"55","Male","Black","Highschool","AL","Age_30-44","employed",0
"56","Male","Black","Undergraduates or similar degree","AL","Age_45-59","unemployed",0
"57","Male","White","Graduates or higher degree","AL","Age_30-44","employed",1
"58","Male","White","Graduates or higher degree","AL","Age_45-59","employed",1
"59","Male","White","Graduates or higher degree","AL","Age_60-74","unemployed",1
"60","Male","White","Graduates or higher degree","AL","Age_60-74","unemployed",0
"61","Male","White","Graduates or higher degree","AL","Age_60-74","unemployed",0
"62","Male","White","Graduates or higher degree","AL","Age_60-74","unemployed",0
"63","Male","White","Highschool","AL","Age_30-44","employed",1
"64","Male","White","Highschool","AL","Age_45-59","unemployed",1
"65","Male","White","Undergraduates or similar degree","AL","Age_18-29","employed",0
"66","Male","White","Undergraduates or similar degree","AL","Age_18-29","unemployed",0
"67","Male","White","Undergraduates or similar degree","AL","Age_18-29","unemployed",0
"68","Male","White","Undergraduates or similar degree","AL","Age_30-44","unemployed",1
"69","Male","White","Undergraduates or similar degree","AL","Age_45-59","employed",1
"70","Male","White","Undergraduates or similar degree","AL","Age_45-59","unemployed",1
"71","Male","White","Undergraduates or similar degree","AL","Age_45-59","unemployed",1
"72","Male","White","Undergraduates or similar degree","AL","Age_45-59","unemployed",0
"73","Male","White","Undergraduates or similar degree","AL","Age_60-74","employed",0
"74","Male","White","Undergraduates or similar degree","AL","Age_60-74","employed",1
"75","Male","White","Undergraduates or similar degree","AL","Age_75+","unemployed",0
"76","Male","White","Undergraduates or similar degree","AL","Age_75+","unemployed",1
"77","Male","White",NA,"AL","Age_30-44","employed",1
"78","Male","White",NA,"AL","Age_60-74","unemployed",1
"79","Female","Black","Highschool","AR","Age_60-74","employed",0
"80","Female","Black","Undergraduates or similar degree","AR","Age_60-74","unemployed",0
"81","Female","Others","Graduates or higher degree","AR","Age_18-29","employed",0
"82","Female","Others","Undergraduates or similar degree","AR","Age_30-44","unemployed",1
"83","Female","Others","Undergraduates or similar degree","AR","Age_45-59","employed",0
"84","Female","Others","Undergraduates or similar degree","AR","Age_60-74","employed",0
"85","Female","White","Graduates or higher degree","AR","Age_18-29","employed",1
"86","Female","White","Graduates or higher degree","AR","Age_45-59","unemployed",1
"87","Female","White","Highschool","AR","Age_18-29","employed",1
"88","Female","White","Highschool","AR","Age_18-29","employed",0
"89","Female","White","Highschool","AR","Age_18-29","unemployed",1
"90","Female","White","Highschool","AR","Age_45-59","unemployed",1
"91","Female","White","Highschool","AR","Age_60-74","employed",1
"92","Female","White","Highschool","AR","Age_60-74","unemployed",1
"93","Female","White","Highschool","AR","Age_60-74","unemployed",1
"94","Female","White","Highschool","AR","Age_60-74","unemployed",1
"95","Female","White","Highschool","AR","Age_75+","unemployed",1
"96","Female","White","Undergraduates or similar degree","AR","Age_18-29","employed",1
"97","Female","White","Undergraduates or similar degree","AR","Age_18-29","employed",0
"98","Female","White","Undergraduates or similar degree","AR","Age_30-44","unemployed",1
"99","Female","White","Undergraduates or similar degree","AR","Age_30-44",NA,1
"100","Female","White","Undergraduates or similar degree","AR","Age_60-74","employed",0
"101","Female","White","Undergraduates or similar degree","AR","Age_60-74","unemployed",1
"102","Female","White",NA,"AR","Age_18-29","employed",1
"103","Female","White",NA,"AR","Age_18-29","unemployed",1
"104","Male","Black","Undergraduates or similar degree","AR","Age_18-29","employed",0
"105","Male","White","Graduates or higher degree","AR","Age_18-29","employed",0
"106","Male","White","Graduates or higher degree","AR","Age_60-74","employed",1
"107","Male","White","Graduates or higher degree","AR","Age_60-74","unemployed",0
"108","Male","White","Highschool","AR","Age_45-59","employed",1
"109","Male","White","Undergraduates or similar degree","AR","Age_45-59","employed",1
"110","Male","White","Undergraduates or similar degree","AR","Age_45-59","employed",1
"111","Male","White","Undergraduates or similar degree","AR","Age_45-59","employed",1
"112","Male","White","Undergraduates or similar degree","AR","Age_45-59","unemployed",1
